City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Albany,95,US,1599100533,91,42.6,-73.97,73.99,3.74
Kruisfontein,0,ZA,1599100616,38,-34.0,24.73,60.01,1.01
Gerāsh,0,IR,1599100706,43,27.67,54.14,73.4,2.42
Torbay,90,CA,1599100523,71,47.67,-52.73,55.0,12.75
Thinadhoo,100,MV,1599100706,75,0.53,72.93,82.24,13.38
Ushuaia,75,AR,1599100328,86,-54.8,-68.3,37.4,4.7
Nkhata Bay,100,MW,1599100707,72,-11.61,34.29,70.81,6.91
Avarua,0,CK,1599100608,74,-21.21,-159.78,80.6,13.87
Qaanaaq,0,GL,1599100707,76,77.48,-69.36,24.13,6.67
Jamestown,1,US,1599100707,100,42.1,-79.24,68.0,6.93
Pacific Grove,0,US,1599099984,88,36.62,-121.92,63.0,1.01
Longyearbyen,75,SJ,1599100284,93,78.22,15.64,39.2,8.05
Punta Arenas,27,CL,1599100605,93,-53.15,-70.92,35.6,10.29
Champerico,83,GT,1599100708,93,14.3,-91.92,71.01,7.7
Semme,33,FR,1599100708,71,46.2,1.5,55.4,4.7
Rikitea,9,PF,1599100708,84,-23.12,-134.97,70.43,17.69
New Norfolk,56,AU,1599100620,56,-42.78,147.06,62.01,1.99
Ribeira Grande,71,PT,1599100278,79,38.52,-28.7,73.24,7.36
Malanje,97,AO,1599100708,88,-9.54,16.34,67.53,2.24
East London,80,ZA,1599100274,57,-33.02,27.91,65.62,8.1
Cape Town,75,ZA,1599100520,87,-33.93,18.42,59.0,14.99
Constitución,90,CL,1599099995,83,-35.33,-72.42,48.79,9.95
Vaini,75,TO,1599100709,88,-21.2,-175.2,73.4,12.75
Bundaberg,75,AU,1599100630,64,-24.85,152.35,73.99,11.41
Hermanus,30,ZA,1599100247,95,-34.42,19.23,55.0,5.99
Lagoa,11,PT,1599100340,80,39.05,-27.98,72.66,4.72
Puerto Ayora,74,EC,1599100279,90,-0.74,-90.35,66.0,1.01
Beringovskiy,86,RU,1599100290,67,63.05,179.32,47.44,8.63
Bodden Town,20,KY,1599100710,89,19.28,-81.25,84.2,11.45
Bowen,90,AU,1599100710,57,-20.02,148.23,78.8,14.99
Mount Isa,0,AU,1599100622,18,-20.73,139.5,87.8,12.75
Port Alfred,0,ZA,1599100710,39,-33.59,26.89,60.96,12.44
Muros,0,ES,1599100055,84,42.78,-9.06,63.0,1.99
Mataura,67,NZ,1599100612,46,-46.19,168.86,57.67,2.51
Ahipara,46,NZ,1599100293,64,-35.17,173.17,56.14,17.27
Bucerías,75,MX,1599100711,79,20.75,-105.33,84.2,3.36
Arraial do Cabo,0,BR,1599100283,89,-22.97,-42.03,70.5,15.64
Bonavista,100,CA,1599100325,79,48.65,-53.11,54.0,5.99
Oleksandrivka,100,UA,1599100711,38,48.96,32.23,69.4,3.09
Atuona,6,PF,1599100711,77,-9.8,-139.03,78.98,22.46
Diego de Almagro,0,CL,1599100303,74,-26.37,-70.05,42.17,2.17
Dikson,4,RU,1599100632,83,73.51,80.55,41.41,10.13
Severo-Kuril'sk,99,RU,1599100257,82,50.68,156.12,56.71,16.53
Kavieng,90,PG,1599100646,64,-2.57,150.8,85.01,3.62
Tuktoyaktuk,75,CA,1599100605,81,69.45,-133.04,53.6,4.7
Tuatapere,96,NZ,1599100259,53,-46.13,167.68,58.12,1.72
Barabai,99,ID,1599100712,79,-2.58,115.38,82.38,1.12
Butaritari,100,KI,1599100278,72,3.07,172.79,83.82,13.29
Sinnamary,1,GF,1599100656,84,5.38,-52.95,78.78,11.16
Padang,79,ID,1599100346,65,-0.95,100.35,84.42,2.44
Leningradskiy,83,RU,1599099983,82,69.38,178.42,36.55,5.23
Souillac,75,MU,1599100610,94,-20.52,57.52,68.0,6.93
Komsomol'skoye,0,RU,1599100713,81,55.26,47.55,47.53,5.1
Vao,27,NC,1599100350,71,-22.67,167.48,66.96,21.88
Fort Nelson,75,CA,1599100302,45,58.81,-122.7,62.6,3.36
